Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,Chrome 119.0.0.0,,,2023-11-06 18:15:43,2023-11-06 18:15:50,7.090s,PASSED
,,,,,,,
Test Cases/Login,Chrome 119.0.0.0,,,2023-11-06 18:15:43,2023-11-06 18:15:50,6.842s,PASSED
"println(""Starts Process"")",Chrome 119.0.0.0,,,2023-11-06 18:15:43,2023-11-06 18:15:43,0.005s,PASSED
openBrowser(str_URL),Chrome 119.0.0.0,,,2023-11-06 18:15:43,2023-11-06 18:15:46,2.688s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-06 18:15:46,2023-11-06 18:15:46,0.144s,PASSED
waitForPageLoad(30),Chrome 119.0.0.0,,,2023-11-06 18:15:46,2023-11-06 18:15:46,0.117s,PASSED
"setText(findTestObject(""Page_Facebook  log in page/Username""), Username)",Chrome 119.0.0.0,,,2023-11-06 18:15:46,2023-11-06 18:15:47,0.773s,PASSED
"get_Username = getAttribute(findTestObject(""Page_Facebook  log in page/Username""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 18:15:47,2023-11-06 18:15:48,0.576s,PASSED
"verifyMatch(Username, get_Username, false)",Chrome 119.0.0.0,,,2023-11-06 18:15:48,2023-11-06 18:15:48,0.020s,PASSED
"setMaskedText(findTestObject(""Page_Facebook  log in page/Password""), Password)",Chrome 119.0.0.0,,,2023-11-06 18:15:48,2023-11-06 18:15:48,0.672s,PASSED
"get_Password = getAttribute(findTestObject(""Page_Facebook  log in page/Password""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 18:15:48,2023-11-06 18:15:49,0.328s,PASSED
"verifyMatch(Password, get_Password, false)",Chrome 119.0.0.0,,,2023-11-06 18:15:49,2023-11-06 18:15:49,0.003s,PASSED
"click(findTestObject(""Page_Facebook  log in page/button_Log in""))",Chrome 119.0.0.0,,,2023-11-06 18:15:49,2023-11-06 18:15:49,0.342s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-06 18:15:49,2023-11-06 18:15:50,0.677s,PASSED
