Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,Chrome 119.0.0.0,,,2023-11-06 11:29:38,2023-11-06 11:29:48,9.723s,PASSED
,,,,,,,
Test Cases/TCID_1,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.239s,PASSED
"println(""1st test case created"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.007s,PASSED
"println(""Ends"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.003s,PASSED
,,,,,,,
Test Cases/TCID_2,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.073s,PASSED
"println(""2nd test case created"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.004s,PASSED
"println(""ENds 2nd"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.002s,PASSED
,,,,,,,
Test Cases/TCID_3,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.059s,PASSED
"println(""3rd test case created"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.002s,PASSED
,,,,,,,
Test Cases/TCID_4,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.043s,PASSED
"println(""4th test case created"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.001s,PASSED
,,,,,,,
Test Cases/TCID_5,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.112s,PASSED
"println(""5th test case created"")",Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:39,0.001s,PASSED
,,,,,,,
Test Cases/Login,Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:48,8.842s,PASSED
openBrowser(str_URL),Chrome 119.0.0.0,,,2023-11-06 11:29:39,2023-11-06 11:29:45,5.249s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-06 11:29:45,2023-11-06 11:29:45,0.145s,PASSED
waitForPageLoad(30),Chrome 119.0.0.0,,,2023-11-06 11:29:45,2023-11-06 11:29:45,0.127s,PASSED
"setText(findTestObject(""Page_Facebook  log in page/Username""), Username)",Chrome 119.0.0.0,,,2023-11-06 11:29:45,2023-11-06 11:29:46,0.946s,PASSED
"get_Username = getAttribute(findTestObject(""Page_Facebook  log in page/Username""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 11:29:46,2023-11-06 11:29:46,0.373s,PASSED
"verifyMatch(Username, get_Username, false)",Chrome 119.0.0.0,,,2023-11-06 11:29:46,2023-11-06 11:29:46,0.028s,PASSED
"setMaskedText(findTestObject(""Page_Facebook  log in page/Password""), Password)",Chrome 119.0.0.0,,,2023-11-06 11:29:46,2023-11-06 11:29:47,0.900s,PASSED
"get_Password = getAttribute(findTestObject(""Page_Facebook  log in page/Password""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 11:29:47,2023-11-06 11:29:48,0.403s,PASSED
"verifyMatch(Password, get_Password, false)",Chrome 119.0.0.0,,,2023-11-06 11:29:48,2023-11-06 11:29:48,0.004s,PASSED
"click(findTestObject(""Page_Facebook  log in page/button_Log in""))",Chrome 119.0.0.0,,,2023-11-06 11:29:48,2023-11-06 11:29:48,0.447s,PASSED
