Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,Chrome 119.0.0.0,,,2023-11-06 17:23:41,2023-11-06 17:23:49,7.727s,PASSED
,,,,,,,
Test Cases/Login,Chrome 119.0.0.0,,,2023-11-06 17:23:41,2023-11-06 17:23:49,7.448s,PASSED
"println(""Starts Process"")",Chrome 119.0.0.0,,,2023-11-06 17:23:42,2023-11-06 17:23:42,0.005s,PASSED
openBrowser(str_URL),Chrome 119.0.0.0,,,2023-11-06 17:23:42,2023-11-06 17:23:45,3.701s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-06 17:23:45,2023-11-06 17:23:46,0.237s,PASSED
waitForPageLoad(30),Chrome 119.0.0.0,,,2023-11-06 17:23:46,2023-11-06 17:23:46,0.139s,PASSED
"setText(findTestObject(""Page_Facebook  log in page/Username""), Username)",Chrome 119.0.0.0,,,2023-11-06 17:23:46,2023-11-06 17:23:47,0.916s,PASSED
"get_Username = getAttribute(findTestObject(""Page_Facebook  log in page/Username""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 17:23:47,2023-11-06 17:23:47,0.341s,PASSED
"verifyMatch(Username, get_Username, false)",Chrome 119.0.0.0,,,2023-11-06 17:23:47,2023-11-06 17:23:47,0.019s,PASSED
"setMaskedText(findTestObject(""Page_Facebook  log in page/Password""), Password)",Chrome 119.0.0.0,,,2023-11-06 17:23:47,2023-11-06 17:23:48,0.814s,PASSED
"get_Password = getAttribute(findTestObject(""Page_Facebook  log in page/Password""), ""value"")",Chrome 119.0.0.0,,,2023-11-06 17:23:48,2023-11-06 17:23:48,0.338s,PASSED
"verifyMatch(Password, get_Password, false)",Chrome 119.0.0.0,,,2023-11-06 17:23:48,2023-11-06 17:23:48,0.002s,PASSED
"click(findTestObject(""Page_Facebook  log in page/button_Log in""))",Chrome 119.0.0.0,,,2023-11-06 17:23:48,2023-11-06 17:23:49,0.436s,PASSED
